FechaParticipacion;¿Con qué finalidad se dirige habitualmente a la Hemeroteca Municipal?;¿Con qué frecuencia acude a la Hemeroteca Municipal?;¿Ha utilizado el servicio de consulta en sala?;Por favor, valore de 0 a 10 su grado de satisfacción con el servicio de consulta en sala.;¿Ha utilizado el servicio de reprografía?;Satisfacción general con el servicio de reprografía;¿Ha participado en alguna actividad organizada por la Hemeroteca Municipal (visitas guiadas, exposiciones, conferencias, talleres, presentaciones, etc.)?;Satisfacción con las actividades culturales;Servicio de información general y especializada;Uso de la red wifi;Hemerotecas digitales y recursos en línea;Acceso a plataformas de prensa (ORBYT, KIOSCO Y MÁS, etc.);Servicio de información general y especializada2;¿Qué fondos son los que más consulta en la Hemeroteca Municipal de Madrid?;¿Conoce la página web de la Hemeroteca Municipal?;La actualización de la información y los contenidos;La facilidad de la búsqueda en el catálogo;La facilidad de localización de obras digitalizadas;Tiempo de descarga de los documentos digitalizados;El edificio y las instalaciones;El horario de apertura;La información general y especializada recibida;El trato y la atención recibidos;¿Cuál es su valoración general de la Hemeroteca Municipal y sus servicios? Valore su satisfacción de 0 a 10.;¿En cuál de los siguientes grupos de edad se encuentra usted?;De manera global, el servicio prestado por la Hemeroteca Municipal ha sido:
2022-10-24 11:4:30. 0;Investigación y estudio;Ocasionalmente;Sí;10;No;;No;;Sí;No;Sí;No;10;Publicaciones periódicas siglo XIX;Sí;8;6;8;10;8;10;10;10;10;Más de 65 años;Mejor de lo que esperaba
2022-10-24 11:5:9. 0;Interés profesional;Ocasionalmente;Sí;8;Sí;8;No;;No;No;No;No;No sabe, no contesta;"Publicaciones periódicas siglo XX;Prensa diaria actual";Sí;5;3;2;No sabe, no contesta;9;7;7;9;6;De 30 a 44 años;Igual de lo que esperaba
2022-10-24 11:8:39. 0;Investigación y estudio;Varias veces al año;Sí;10;No;;No;;Sí;Sí;Sí;No;10;"Publicaciones periódicas siglo XIX;Publicaciones periódicas siglo XX";Sí;No sabe, no contesta;10;9;10;10;10;10;10;10;De 18 a 29 años;Mejor de lo que esperaba
2022-10-24 11:11:16. 0;Investigación y estudio;Ocasionalmente;Sí;10;No;;Sí;10;Sí;No;Sí;No;10;Publicaciones periódicas siglo XX;Sí;10;10;10;No sabe, no contesta;10;10;10;10;10;De 45 a 64 años;Mejor de lo que esperaba
2022-10-24 11:16:40. 0;Investigación y estudio;Una vez al año;Sí;10;Sí;10;No;;Sí;No;Sí;No;10;Publicaciones periódicas siglo XIX;Sí;10;10;10;10;10;10;10;10;10;De 45 a 64 años;Mejor de lo que esperaba
2022-10-24 11:17:48. 0;Interés profesional;Diariamente;Sí;9;Sí;7;Sí;10;Sí;Sí;Sí;Sí;9;Publicaciones siglos XVII-XVIII;Sí;9;7;8;8;9;8;8;9;8;De 45 a 64 años;Mejor de lo que esperaba
2022-10-24 11:18:1. 0;Investigación y estudio;Ocasionalmente;Sí;10;No;;No;;Sí;Sí;Sí;No;10;Publicaciones periódicas siglo XX;Sí;8;8;7;10;10;10;10;10;9;De 18 a 29 años;Mejor de lo que esperaba
2022-10-24 11:20:59. 0;Investigación y estudio;Varios días al mes;Sí;10;Sí;10;No;;Sí;No;Sí;No;10;"Publicaciones periódicas siglo XIX;Publicaciones periódicas siglo XX";Sí;10;10;10;10;10;10;10;10;10;De 45 a 64 años;Mejor de lo que esperaba
2022-10-24 11:21:55. 0;Interés profesional;Varios días a la semana;Sí;10;No;;Sí;9;Sí;Sí;No;Sí;5;Publicaciones periódicas siglo XIX;Sí;10;8;8;9;8;10;10;10;10;De 45 a 64 años;Mejor de lo que esperaba
2022-10-24 11:22:19. 0;Investigación y estudio;Varios días al mes;Sí;10;No;;No;;Sí;No;Sí;No;10;Publicaciones periódicas siglo XX;No;;;;;10;10;10;10;10;Más de 65 años;Igual de lo que esperaba
